id,picture_name,year_of_release
0,IT-2015-200-002_left_darker.png,2015
0,IT-2015-200-002_original_darker.png,2015
0,IT-2015-200-002_right_heavy_noise_darker.png,2015
0,IT-2015-200-002_right_light_noise_darker.png,2015
0,IT-2015-200-002_right.png,2015
0,IT-2015-200-002_original_heavy_noise_lighter.png,2015
0,IT-2015-200-002_right_darker.png,2015
0,IT-2015-200-002_left_heavy_noise_lighter.png,2015
0,IT-2015-200-002_original_heavy_noise.png,2015
0,IT-2015-200-002_right_heavy_noise.png,2015
0,IT-2015-200-002_right_lighter.png,2015
0,IT-2015-200-002_original_light_noise.png,2015
0,IT-2015-200-002_left_heavy_noise.png,2015
0,IT-2015-200-002_left_light_noise_lighter.png,2015
0,IT-2015-200-002_right_light_noise.png,2015
0,IT-2015-200-002_original_light_noise_lighter.png,2015
0,IT-2015-200-002_original_light_noise_darker.png,2015
0,IT-2015-200-002_original.png,2015
0,IT-2015-200-002_left_light_noise.png,2015
0,IT-2015-200-002_original_lighter.png,2015
0,IT-2015-200-002_left_light_noise_darker.png,2015
0,IT-2015-200-002_original_heavy_noise_darker.png,2015
0,IT-2015-200-002_left.png,2015
0,IT-2015-200-002_left_lighter.png,2015
0,IT-2015-200-002_right_heavy_noise_lighter.png,2015
0,IT-2015-200-002_left_heavy_noise_darker.png,2015
0,IT-2015-200-002_right_light_noise_lighter.png,2015
1,ES-2023-200_original_lighter.png,2023
1,ES-2023-200_original_light_noise_lighter.png,2023
1,ES-2023-200_right_light_noise_lighter.png,2023
1,ES-2023-200_left_darker.png,2023
1,ES-2023-200_left_light_noise.png,2023
1,ES-2023-200_original_heavy_noise.png,2023
1,ES-2023-200_left_heavy_noise.png,2023
1,ES-2023-200_original_light_noise.png,2023
1,ES-2023-200_original_heavy_noise_darker.png,2023
1,ES-2023-200_left_heavy_noise_lighter.png,2023
1,ES-2023-200_right_heavy_noise.png,2023
1,ES-2023-200_right_darker.png,2023
1,ES-2023-200_right_heavy_noise_darker.png,2023
1,ES-2023-200_original.png,2023
1,ES-2023-200_right_light_noise_darker.png,2023
1,ES-2023-200_left_light_noise_darker.png,2023
1,ES-2023-200_left_heavy_noise_darker.png,2023
1,ES-2023-200_right.png,2023
1,ES-2023-200_left_lighter.png,2023
1,ES-2023-200_right_lighter.png,2023
1,ES-2023-200_left_light_noise_lighter.png,2023
1,ES-2023-200_original_light_noise_darker.png,2023
1,ES-2023-200_original_heavy_noise_lighter.png,2023
1,ES-2023-200_original_darker.png,2023
1,ES-2023-200_left.png,2023
1,ES-2023-200_right_light_noise.png,2023
1,ES-2023-200_right_heavy_noise_lighter.png,2023
2,FI-2007-200_left_heavy_noise_darker.png,2007
2,FI-2007-200_left_darker.png,2007
2,FI-2007-200_left_heavy_noise_lighter.png,2007
2,FI-2007-200_left_light_noise.png,2007
2,FI-2007-200_original_lighter.png,2007
2,FI-2007-200_right_light_noise.png,2007
2,FI-2007-200_original_light_noise_darker.png,2007
2,FI-2007-200_left_light_noise_darker.png,2007
2,FI-2007-200_left.png,2007
2,FI-2007-200_original_heavy_noise.png,2007
2,FI-2007-200_original.png,2007
2,FI-2007-200_original_light_noise.png,2007
2,FI-2007-200_left_light_noise_lighter.png,2007
2,FI-2007-200_left_lighter.png,2007
2,FI-2007-200_right_light_noise_darker.png,2007
2,FI-2007-200_right.png,2007
2,FI-2007-200_left_heavy_noise.png,2007
2,FI-2007-200_right_heavy_noise_lighter.png,2007
2,FI-2007-200_right_heavy_noise_darker.png,2007
2,FI-2007-200_right_lighter.png,2007
2,FI-2007-200_original_heavy_noise_lighter.png,2007
2,FI-2007-200_right_heavy_noise.png,2007
2,FI-2007-200_original_light_noise_lighter.png,2007
2,FI-2007-200_original_darker.png,2007
2,FI-2007-200_right_light_noise_lighter.png,2007
2,FI-2007-200_original_heavy_noise_darker.png,2007
2,FI-2007-200_right_darker.png,2007
3,AD-2016-200-002_original_heavy_noise_lighter.png,2016
3,AD-2016-200-002_right.png,2016
3,AD-2016-200-002_left_heavy_noise.png,2016
3,AD-2016-200-002_original_heavy_noise.png,2016
3,AD-2016-200-002_right_heavy_noise_lighter.png,2016
3,AD-2016-200-002_left_light_noise_lighter.png,2016
3,AD-2016-200-002_left_darker.png,2016
3,AD-2016-200-002_original_light_noise_lighter.png,2016
3,AD-2016-200-002_left_light_noise.png,2016
3,AD-2016-200-002_right_darker.png,2016
3,AD-2016-200-002_original_light_noise.png,2016
3,AD-2016-200-002_right_light_noise_lighter.png,2016
3,AD-2016-200-002_left_light_noise_darker.png,2016
3,AD-2016-200-002_original_light_noise_darker.png,2016
3,AD-2016-200-002_original.png,2016
3,AD-2016-200-002_right_heavy_noise.png,2016
3,AD-2016-200-002_original_lighter.png,2016
3,AD-2016-200-002_left.png,2016
3,AD-2016-200-002_original_heavy_noise_darker.png,2016
3,AD-2016-200-002_right_light_noise.png,2016
3,AD-2016-200-002_original_darker.png,2016
3,AD-2016-200-002_left_heavy_noise_darker.png,2016
3,AD-2016-200-002_left_heavy_noise_lighter.png,2016
3,AD-2016-200-002_right_light_noise_darker.png,2016
3,AD-2016-200-002_right_lighter.png,2016
3,AD-2016-200-002_right_heavy_noise_darker.png,2016
3,AD-2016-200-002_left_lighter.png,2016
4,MC-2017-200_right_darker.png,2017
4,MC-2017-200_right_light_noise_lighter.png,2017
4,MC-2017-200_original_heavy_noise_lighter.png,2017
4,MC-2017-200_right_light_noise_darker.png,2017
4,MC-2017-200_right_heavy_noise.png,2017
4,MC-2017-200_left_heavy_noise.png,2017
4,MC-2017-200_right_lighter.png,2017
4,MC-2017-200_original_heavy_noise.png,2017
4,MC-2017-200_left_darker.png,2017
4,MC-2017-200_left_light_noise.png,2017
4,MC-2017-200_right_heavy_noise_darker.png,2017
4,MC-2017-200_original_heavy_noise_darker.png,2017
4,MC-2017-200_original_darker.png,2017
4,MC-2017-200_left_lighter.png,2017
4,MC-2017-200_right_heavy_noise_lighter.png,2017
4,MC-2017-200_original_lighter.png,2017
4,MC-2017-200_original_light_noise_lighter.png,2017
4,MC-2017-200_original_light_noise.png,2017
4,MC-2017-200_original_light_noise_darker.png,2017
4,MC-2017-200_left_light_noise_darker.png,2017
4,MC-2017-200_left_light_noise_lighter.png,2017
4,MC-2017-200_right.png,2017
4,MC-2017-200_left_heavy_noise_lighter.png,2017
4,MC-2017-200_original.png,2017
4,MC-2017-200_right_light_noise.png,2017
4,MC-2017-200_left.png,2017
4,MC-2017-200_left_heavy_noise_darker.png,2017
5,CY-2022-200_original_heavy_noise_lighter.png,2022
5,CY-2022-200_left_heavy_noise.png,2022
5,CY-2022-200_left_light_noise_darker.png,2022
5,CY-2022-200_right_heavy_noise.png,2022
5,CY-2022-200_original_lighter.png,2022
5,CY-2022-200_right_darker.png,2022
5,CY-2022-200_original_darker.png,2022
5,CY-2022-200_right_light_noise_darker.png,2022
5,CY-2022-200_original.png,2022
5,CY-2022-200_right.png,2022
5,CY-2022-200_right_light_noise.png,2022
